RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
267,Sharjah,36–40,Female,200-400 Dhs,Customer Service and Sales,Every 6 months,A decrease in disposable income,Very important,Often,Slightly,"Yes, sometimes",Often,Never,Moderately,Sometimes,Somewhat important,Sometimes,Neutral,Always,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Authentic brands and easy returns.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
268,Sharjah,31-35,Male,200-400 Dhs,Unemployed,Every 6 months,A sudden increase in income,Extremely important,Sometimes,Slightly,"Yes, sometimes",Sometimes,Often,Very much,Sometimes,Somewhat important,Never,Somewhat important,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,More samples with purchases.
269,Abu Dhabi,Under 21,Female,800 Dhs and above,General Employee,Every 6 months,No significant change in income,Very important,Often,Completely,Neutral,Never,Rarely,Very much,Always,Extremely important,Often,Neutral,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Offer student and family bundles.
270,Dubai,Under 21,Female,400–800 Dhs,Self-employed,Every 6 months,A change in employment status,Very important,Sometimes,Slightly,"Yes, always",Sometimes,Rarely,Completely,Sometimes,Somewhat important,Often,Extremely important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,1,Convenient location and parking.,More niche fragrance houses.,More samples with purchases.
271,Dubai,21-25,Female,200-400 Dhs,Customer Service and Sales,Every 3 months,A decrease in disposable income,Neutral,Often,Completely,"Yes, sometimes",Always,Rarely,Completely,Sometimes,Neutral,Sometimes,Extremely important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,3,Convenient location and parking.,More niche fragrance houses.,More samples with purchases.
272,Abu Dhabi,31-35,Female,400–800 Dhs,General Employee,Monthly,No significant change in income,Neutral,Sometimes,Completely,"Yes, always",Never,Never,Completely,Sometimes,Very important,Sometimes,Very important,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Authentic brands and easy returns.,More niche fragrance houses.,Add WhatsApp virtual consultations.
273,Dubai,41-50,Male,800 Dhs and above,Unemployed,Yearly,A sudden increase in income,Somewhat important,Always,Not at all,"Yes, sometimes",Rarely,Sometimes,Very much,Often,Somewhat important,Rarely,Very important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,2,Convenient location and parking.,More niche fragrance houses.,Add WhatsApp virtual consultations.
274,Abu Dhabi,31-35,Female,800 Dhs and above,Unemployed,Every 3 months,No significant change in income,Not important at all,Rarely,Very much,"No, not often",Rarely,Never,Not at all,Sometimes,Extremely important,Sometimes,Not important at all,Sometimes,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,4,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Improve stock updates online.
275,Abu Dhabi,Under 21,Male,400–800 Dhs,Customer Service and Sales,Monthly,No significant change in income,Very important,Rarely,Completely,Neutral,Rarely,Sometimes,Slightly,Rarely,Very important,Never,Somewhat important,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,4,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
276,Abu Dhabi,26-30,Male,200-400 Dhs,Health,Yearly,A decrease in disposable income,Extremely important,Sometimes,Very much,"No, not often",Sometimes,Always,Very much,Always,Extremely important,Sometimes,Very important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
277,Abu Dhabi,36–40,Male,400–800 Dhs,Health,Monthly,No significant change in income,Very important,Sometimes,Very much,"Yes, sometimes",Rarely,Sometimes,Very much,Often,Neutral,Always,Very important,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Convenient location and parking.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
278,Abu Dhabi,26-30,Male,800 Dhs and above,Health,In Eids and seasons,A sudden increase in income,Somewhat important,Sometimes,Very much,"Yes, sometimes",Sometimes,Sometimes,Completely,Often,Extremely important,Always,Very important,Rarely,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,2,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,More samples with purchases.
279,Dubai,31-35,Female,Less than 200 Dhs,Retired,Every 3 months,No significant change in income,Very important,Always,Not at all,"Yes, sometimes",Often,Often,Not at all,Sometimes,Very important,Rarely,Very important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
280,Abu Dhabi,31-35,Female,800 Dhs and above,Entrepreneur,Weekly,No significant change in income,Not important at all,Sometimes,Slightly,Neutral,Often,Sometimes,Not at all,Always,Very important,Often,Very important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,4,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
281,Dubai,36–40,Female,800 Dhs and above,Senior & Managerial positions,Every 3 months,No significant change in income,Neutral,Rarely,Completely,"Yes, sometimes",Sometimes,Never,Completely,Never,Not important at all,Always,Neutral,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,3,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
282,Dubai,31-35,Female,200-400 Dhs,Marketing / Media,Every 6 months,A sudden increase in income,Extremely important,Sometimes,Moderately,"Yes, sometimes",Never,Sometimes,Completely,Rarely,Not important at all,Always,Somewhat important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,5,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Add WhatsApp virtual consultations.
283,Dubai,36–40,Male,800 Dhs and above,Marketing / Media,Monthly,A sudden increase in income,Neutral,Rarely,Not at all,Neutral,Sometimes,Often,Completely,Rarely,Somewhat important,Always,Somewhat important,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,5,Fast checkout and loyalty rewards.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
284,Abu Dhabi,41-50,Female,400–800 Dhs,Law,Monthly,A change in employment status,Somewhat important,Never,Very much,"Yes, always",Rarely,Sometimes,Very much,Sometimes,Not important at all,Often,Very important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,4,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Improve stock updates online.
285,Dubai,26-30,Male,800 Dhs and above,Customer Service and Sales,Monthly,A change in employment status,Extremely important,Always,Very much,"No, never",Sometimes,Always,Completely,Sometimes,Neutral,Sometimes,Extremely important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,1,Convenient location and parking.,Workshops on layering scents.,Offer student and family bundles.
286,Abu Dhabi,31-35,Female,800 Dhs and above,Retired,Every 6 months,A change in employment status,Very important,Sometimes,Completely,"Yes, always",Never,Often,Moderately,Sometimes,Somewhat important,Never,Extremely important,Never,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
